en,fr,de
Monday,lundi,Montag
Tuesday,mardi,Dienstag
Wednesday,mercredi,Mittwoch
Thursday,jeudi,Donnerstag
Friday,vendredi,Fridag
Saturday,samedi,Samstag
Sunday,dimanche,Sontag
yesterday,hier,Gestern
last week,la semaine dernière,letzte Woche
last month,mois dernière,letzten Monat
last year,l’année dernière,letztes Jahr
weeks,semaines,Wochen
{N} minutes ago,il y a {N} minutes,vor {N} Minuten
{N} weeks ago,il y a {N} semaines,vor {N} Wochen
{N} months ago,il y a {N} mois,vor {N} Monaten
months,mois,Monate
